name,navicode,latitude,longitude,type,username,expire
스타벅스 도봉로DT,3232*194,37.661181,127.041630,1,admin,20260806
스타벅스 방학역,3232*195,37.665313,127.043313,1,admin,20260806
스타벅스 창동역,3232*196,37.654502,127.049673,1,admin,20260806
스타벅스 노량진동,3232*197,37.513068,126.946537,1,admin,20260806
스타벅스 남성역,3232*198,37.484120,126.972574,1,admin,20260806
스타벅스 상도역,3232*199,37.503194,126.948458,1,admin,20260806
스타벅스 보라매공원R,3232*200,37.491910,126.923548,1,admin,20260806
스타벅스 이수자이,3232*201,37.484414,126.980047,1,admin,20260806
스타벅스 노량진역,3232*202,37.513390,126.940879,1,admin,20260806
스타벅스 신대방삼거리역,3232*203,37.500349,126.931988,1,admin,20260806
스타벅스 중앙대,3232*204,37.506933,126.958125,1,admin,20260806
스타벅스 숭실대입구역,3232*205,37.496835,126.952712,1,admin,20260806
스타벅스 숭실대,3232*206,37.495381,126.954889,1,admin,20260806
스타벅스 사당역,3232*207,37.478492,126.981346,1,admin,20260806
스타벅스 서강대프라자,3232*208,37.551073,126.943096,1,admin,20260806
스타벅스 상암YTN,3232*209,37.579314,126.892210,1,admin,20260806
스타벅스 마포용강동,3232*210,37.541186,126.942209,1,admin,20260806
스타벅스 홍대입구역사거리R,3232*211,37.554636,126.920360,1,admin,20260806
스타벅스 마포경찰서후문,3232*212,37.550800,126.953432,1,admin,20260806
스타벅스 공덕,3232*213,37.545913,126.952956,1,admin,20260806
스타벅스 합정폴리스R,3232*214,37.550900,126.913400,1,admin,20260806
스타벅스 홍대공항철도역,3232*215,37.557491,126.925146,1,admin,20260806
스타벅스 마포염리,3232*216,37.543876,126.947680,1,admin,20260806
스타벅스 서강광흥창역,3232*217,37.549377,126.931661,1,admin,20260806
스타벅스 합정,3232*218,37.549979,126.912540,1,admin,20260806
스타벅스 서강대흥역,3232*219,37.548178,126.941576,1,admin,20260806
스타벅스 서교동사거리,3232*220,37.553376,126.918564,1,admin,20260806
스타벅스 상암사보이시티,3232*221,37.581462,126.888786,1,admin,20260806
스타벅스 신촌오거리,3232*222,37.555137,126.934694,1,admin,20260806
스타벅스 상암디지털큐브,3232*223,37.576135,126.888926,1,admin,20260806
스타벅스 상수역,3232*224,37.547482,126.923216,1,admin,20260806
스타벅스 공덕오거리,3232*225,37.542464,126.950577,1,admin,20260806
스타벅스 서강대,3232*226,37.552458,126.937826,1,admin,20260806
스타벅스 상암MBC,3232*227,37.580942,126.891585,1,admin,20260806
스타벅스 홍대역,3232*228,37.557175,126.923654,1,admin,20260806
스타벅스 동교,3232*229,37.556928,126.919819,1,admin,20260806
스타벅스 애오개역,3232*230,37.552321,126.955695,1,admin,20260806
스타벅스 상암DMC,3232*231,37.577700,126.890936,1,admin,20260806
스타벅스 마포일진빌딩,3232*232,37.540435,126.946317,1,admin,20260806
스타벅스 마포아크로,3232*233,37.541335,126.948867,1,admin,20260806
스타벅스 홍대삼거리,3232*234,37.550248,126.923282,1,admin,20260806
스타벅스 망원역,3232*235,37.555829,126.910637,1,admin,20260806
스타벅스 마포이마트,3232*236,37.542421,126.953341,1,admin,20260806
스타벅스 합정메세나몰,3232*237,37.550058,126.913559,1,admin,20260806
스타벅스 아현역대로,3232*238,37.557097,126.954834,1,admin,20260806
스타벅스 디지털미디어시티역,3232*239,37.576149,126.898948,1,admin,20260806
스타벅스 홍대역8번출구,3232*240,37.556744,126.924167,1,admin,20260806
스타벅스 합정푸르지오,3232*241,37.550943,126.912483,1,admin,20260806
스타벅스 홍대동교,3232*242,37.558328,126.926247,1,admin,20260806
스타벅스 망원한강공원,3232*243,37.553975,126.895928,1,admin,20260806
스타벅스 마포구청역,3232*244,37.564957,126.902555,1,admin,20260806
스타벅스 가재울뉴타운,3232*245,37.575072,126.916360,1,admin,20260806
스타벅스 남가좌사거리,3232*246,37.577386,126.920815,1,admin,20260806
스타벅스 신촌역,3232*247,37.556257,126.934653,1,admin,20260806
스타벅스 연희동,3232*248,37.566702,126.930475,1,admin,20260806
스타벅스 아현역,3232*249,37.558421,126.956349,1,admin,20260806
스타벅스 홍제역,3232*250,37.588658,126.943864,1,admin,20260806
스타벅스 연세백양로,3232*251,37.562874,126.937440,1,admin,20260806
스타벅스 연희DT,3232*252,37.570214,126.933978,1,admin,20260806
스타벅스 경기대,3232*253,37.563680,126.964605,1,admin,20260806
스타벅스 신촌,3232*254,37.556486,126.937116,1,admin,20260806
스타벅스 이대,3232*255,37.558483,126.945964,1,admin,20260806
스타벅스 연세종합관,3232*256,37.561469,126.941120,1,admin,20260806
스타벅스 이대ECC,3232*257,37.561631,126.947350,1,admin,20260806
스타벅스 연대,3232*258,37.558706,126.936727,1,admin,20260806
스타벅스 충정로역,3232*259,37.561370,126.963219,1,admin,20260806
스타벅스 연대동문,3232*260,37.566485,126.946325,1,admin,20260806
스타벅스 신촌명물거리,3232*261,37.557768,126.938155,1,admin,20260806
스타벅스 충정타워,3232*262,37.559869,126.964110,1,admin,20260806
스타벅스 이대역,3232*263,37.557058,126.946454,1,admin,20260806
스타벅스 북가좌DT,3232*264,37.580758,126.911478,1,admin,20260806
스타벅스 현대신촌,3232*265,37.556083,126.935845,1,admin,20260806
스타벅스 방배로,3232*266,37.479343,126.999497,1,admin,20260806
스타벅스 강남교보타워R,3232*267,37.503711,127.024335,1,admin,20260806
스타벅스 방배다이치빌딩,3232*268,37.484329,126.995872,1,admin,20260806
스타벅스 센트럴F1,3232*269,37.505148,127.004395,1,admin,20260806
스타벅스 서초역이화빌딩,3232*270,37.487931,127.009126,1,admin,20260806
스타벅스 서초구청,3232*271,37.484354,127.030091,1,admin,20260806
스타벅스 서초우성사거리,3232*272,37.493545,127.029430,1,admin,20260806
스타벅스 이수역사거리,3232*273,37.485850,126.983027,1,admin,20260806
스타벅스 강남대로신사,3232*274,37.514890,127.019469,1,admin,20260806
스타벅스 서울고속터미널,3232*275,37.504570,127.006160,1,admin,20260806
스타벅스 방배,3232*276,37.491914,126.990497,1,admin,20260806
스타벅스 방배카페거리,3232*277,37.493477,126.986530,1,admin,20260806
스타벅스 서초법원,3232*278,37.492970,127.011875,1,admin,20260806
스타벅스 청계산입구역,3232*279,37.447323,127.056250,1,admin,20260806
스타벅스 사당로데오,3232*280,37.477275,126.982161,1,admin,20260806
스타벅스 파미에파크R,3232*281,37.503052,127.004362,1,admin,20260806
스타벅스 양재역,3232*282,37.482380,127.036853,1,admin,20260806
스타벅스 논현역,3232*283,37.511438,127.020549,1,admin,20260806
스타벅스 이수역,3232*284,37.486466,126.982740,1,admin,20260806
스타벅스 내방역,3232*285,37.490004,126.992455,1,admin,20260806
스타벅스 서초파라곤,3232*286,37.495630,127.027093,1,admin,20260806
스타벅스 서울아트센터,3232*287,37.480866,127.012368,1,admin,20260806
스타벅스 서초중앙로,3232*288,37.501691,127.011520,1,admin,20260806
스타벅스 센트럴시티,3232*289,37.504707,127.004459,1,admin,20260806
스타벅스 강남삼성타운,3232*290,37.495620,127.027714,1,admin,20260806
스타벅스 방배역,3232*291,37.482008,126.997644,1,admin,20260806
스타벅스 반포역,3232*292,37.508589,127.011959,1,admin,20260806
스타벅스 남부터미널,3232*293,37.484673,127.016946,1,admin,20260806
스타벅스 뉴코아강남,3232*294,37.510313,127.006958,1,admin,20260806
스타벅스 강남서초초교,3232*295,37.500088,127.025491,1,admin,20260806
스타벅스 교대,3232*296,37.492361,127.014221,1,admin,20260806
스타벅스 하이브랜드,3232*297,37.462520,127.036668,1,admin,20260806
스타벅스 신논현역,3232*298,37.505290,127.023636,1,admin,20260806
스타벅스 영동2교,3232*299,37.482040,127.042575,1,admin,20260806
스타벅스 남부터미널역5번출구,3232*300,37.484367,127.014219,1,admin,20260806
스타벅스 서래마을입구,3232*301,37.499253,126.998480,1,admin,20260806
스타벅스 몬테소리,3232*302,37.498270,127.026865,1,admin,20260806
스타벅스 서초역,3232*303,37.490675,127.008612,1,admin,20260806
스타벅스 교대법원,3232*304,37.496329,127.013336,1,admin,20260806
스타벅스 강남GT타워,3232*305,37.497908,127.026163,1,admin,20260806
스타벅스 서초동,3232*306,37.485941,127.021525,1,admin,20260806
스타벅스 서울교대,3232*307,37.487397,127.015134,1,admin,20260806
스타벅스 강남에비뉴,3232*308,37.502578,127.024106,1,admin,20260806
스타벅스 반포자이,3232*309,37.507170,127.009919,1,admin,20260806
스타벅스 서초태우빌딩,3232*310,37.488705,127.031581,1,admin,20260806
스타벅스 교대역3번출구,3232*311,37.494346,127.014901,1,admin,20260806
스타벅스 반포원베일리,3232*312,37.504657,126.999033,1,admin,20260806
스타벅스 강남역우송빌딩,3232*313,37.498131,127.025279,1,admin,20260806
스타벅스 서이초교사거리,3232*314,37.491815,127.025225,1,admin,20260806
스타벅스 서울웨이브아트센터,3232*315,37.518807,127.007040,1,admin,20260806
스타벅스 길음역,3232*316,37.602139,127.025271,1,admin,20260806
스타벅스 미아이마트,3232*317,37.610678,127.029921,1,admin,20260806
스타벅스 종암DT,3232*318,37.591953,127.036040,1,admin,20260806
스타벅스 미아,3232*319,37.607581,127.029303,1,admin,20260806
스타벅스 성신여대정문,3232*320,37.590910,127.018800,1,admin,20260806
스타벅스 종암,3232*321,37.601095,127.033847,1,admin,20260806
스타벅스 삼선교,3232*322,37.588696,127.007321,1,admin,20260806
스타벅스 월곡역,3232*323,37.601718,127.040446,1,admin,20260806
스타벅스 고대,3232*324,37.583972,127.029735,1,admin,20260806
스타벅스 현대미아,3232*325,37.608378,127.028748,1,admin,20260806
스타벅스 성신여대,3232*326,37.593135,127.018379,1,admin,20260806
스타벅스 안암역,3232*327,37.586319,127.030556,1,admin,20260806
스타벅스 한성대입구역,3232*328,37.589054,127.004839,1,admin,20260806
스타벅스 고대안암병원,3232*329,37.586879,127.028203,1,admin,20260806
스타벅스 장위뉴타운,3232*330,37.618072,127.051529,1,admin,20260806
스타벅스 성신여대입구역,3232*331,37.593050,127.016700,1,admin,20260806
스타벅스 송파나루역DT,3232*332,37.510987,127.110119,1,admin,20260806
스타벅스 송파헬리오시티,3232*333,37.497783,127.102852,1,admin,20260806
스타벅스 잠실시그마타워,3232*334,37.514567,127.102493,1,admin,20260806
스타벅스 문정법원로R,3232*335,37.487356,127.119120,1,admin,20260806
스타벅스 송파개롱역,3232*336,37.496956,127.136520,1,admin,20260806
스타벅스 문정하비오,3232*337,37.482119,127.123541,1,admin,20260806
스타벅스 문정역,3232*338,37.485297,127.122277,1,admin,20260806
스타벅스 잠실대교남단R,3232*339,37.515511,127.099006,1,admin,20260806
스타벅스 송파위례,3232*340,37.478416,127.143161,1,admin,20260806
스타벅스 송파방이DT,3232*341,37.506564,127.120495,1,admin,20260806
스타벅스 올림픽평화의문,3232*342,37.515643,127.116482,1,admin,20260806
스타벅스 송파아이파크,3232*343,37.479793,127.122420,1,admin,20260806
스타벅스 송파사거리,3232*344,37.502279,127.110390,1,admin,20260806
스타벅스 석촌서호,3232*345,37.506393,127.096468,1,admin,20260806
스타벅스 문정로데오,3232*346,37.491858,127.126231,1,admin,20260806
스타벅스 올림픽훼미리,3232*347,37.491616,127.116266,1,admin,20260806
스타벅스 올림픽공원남문,3232*348,37.513300,127.123113,1,admin,20260806
스타벅스 방이역,3232*349,37.508490,127.126777,1,admin,20260806
스타벅스 석촌호수,3232*350,37.509579,127.105326,1,admin,20260806
스타벅스 잠실푸르지오월드,3232*351,37.517649,127.103426,1,admin,20260806
스타벅스 잠실새내역,3232*352,37.511679,127.081062,1,admin,20260806
스타벅스 잠실역,3232*353,37.515272,127.099231,1,admin,20260806
스타벅스 갤러리아팰리스,3232*354,37.511084,127.093806,1,admin,20260806
스타벅스 아시아선수촌,3232*355,37.510590,127.079047,1,admin,20260806
스타벅스 올림픽아파트,3232*356,37.515315,127.133237,1,admin,20260806
스타벅스 가락본동,3232*357,37.494812,127.118835,1,admin,20260806
스타벅스 석촌역,3232*358,37.504263,127.106108,1,admin,20260806
스타벅스 가락시장역,3232*359,37.494429,127.121743,1,admin,20260806
스타벅스 가든파이브,3232*360,37.477975,127.121185,1,admin,20260806
스타벅스 문정역2번출구,3232*361,37.486293,127.123203,1,admin,20260806
스타벅스 잠실본동,3232*362,37.508645,127.079491,1,admin,20260806
스타벅스 송파NC,3232*363,37.478044,127.125801,1,admin,20260806
스타벅스 송파거여역,3232*364,37.493600,127.143645,1,admin,20260806
스타벅스 몽촌토성역,3232*365,37.516913,127.113127,1,admin,20260806
스타벅스 송파KT,3232*366,37.513942,127.106992,1,admin,20260806
스타벅스 문정법조타운 한양타워,3232*367,37.485797,127.117814,1,admin,20260806
스타벅스 송파마천사거리DT,3232*368,37.499829,127.147672,1,admin,20260806
스타벅스 목동파리공원,3232*369,37.535336,126.878852,1,admin,20260806
스타벅스 등촌역,3232*370,37.548884,126.868070,1,admin,20260806
스타벅스 목동행복한,3232*371,37.529356,126.875892,1,admin,20260806
스타벅스 신정DT,3232*372,37.521993,126.858865,1,admin,20260806
스타벅스 목동역,3232*373,37.526684,126.863986,1,admin,20260806
스타벅스 목동오목로,3232*374,37.525923,126.868438,1,admin,20260806
스타벅스 목동8단지,3232*375,37.520518,126.868841,1,admin,20260806
스타벅스 오목교역,3232*376,37.523856,126.876450,1,admin,20260806
스타벅스 신월IC DT,3232*377,37.529502,126.832202,1,admin,20260806
스타벅스 목동7단지,3232*378,37.528012,126.870530,1,admin,20260806
스타벅스 목동5단지,3232*379,37.536386,126.882118,1,admin,20260806
스타벅스 목동,3232*380,37.536384,126.878560,1,admin,20260806
스타벅스 현대목동,3232*381,37.526848,126.875023,1,admin,20260806
스타벅스 목동SBS,3232*382,37.528962,126.873630,1,admin,20260806
스타벅스 목동트라팰리스,3232*383,37.525500,126.870200,1,admin,20260806
