name,navicode,latitude,longitude,type
스타벅스 가산현대아울렛,3232A172,37.477680,126.888841,1
스타벅스 가산케이에스,3232A173,37.480894,126.885156,1
스타벅스 가산어반워크,3232A174,37.480023,126.878251,1
스타벅스 월계역,3232A175,37.629500,127.057400,1
스타벅스 월계트레이더스,3232A176,37.628006,127.061354,1
스타벅스 상계초교사거리,3232A177,37.656776,127.066442,1
스타벅스 공릉DT,3232A178,37.620688,127.074312,1
스타벅스 노원마들역,3232A179,37.661026,127.058078,1
스타벅스 공릉역,3232A180,37.626337,127.072252,1
스타벅스 은행사거리,3232A181,37.650487,127.075986,1
스타벅스 노원KT,3232A182,37.654562,127.063617,1
스타벅스 광운대,3232A183,37.623148,127.060701,1
스타벅스 중계역,3232A184,37.648170,127.062244,1
스타벅스 노원역,3232A185,37.654751,127.060034,1
스타벅스 월계이마트,3232A186,37.627104,127.062079,1
스타벅스 태릉입구역DT,3232A187,37.619420,127.079320,1
스타벅스 노원상계,3232A188,37.651535,127.061026,1
스타벅스 노원구청,3232A189,37.653990,127.057755,1
스타벅스 창동이마트,3232A190,37.651658,127.046866,1
스타벅스 쌍문역,3232A191,37.648456,127.034783,1
스타벅스 도봉구청,3232A192,37.669503,127.046038,1
스타벅스 쌍문도봉로,3232A193,37.645352,127.033101,1
스타벅스 도봉로DT,3232A194,37.661181,127.041630,1
스타벅스 방학역,3232A195,37.665313,127.043313,1
스타벅스 창동역,3232A196,37.654502,127.049673,1
스타벅스 노량진동,3232A197,37.513068,126.946537,1
스타벅스 남성역,3232A198,37.484120,126.972574,1
스타벅스 상도역,3232A199,37.503194,126.948458,1
스타벅스 보라매공원R,3232A200,37.491910,126.923548,1
스타벅스 이수자이,3232A201,37.484414,126.980047,1
스타벅스 노량진역,3232A202,37.513390,126.940879,1
스타벅스 신대방삼거리역,3232A203,37.500349,126.931988,1
스타벅스 중앙대,3232A204,37.506933,126.958125,1
스타벅스 숭실대입구역,3232A205,37.496835,126.952712,1
스타벅스 숭실대,3232A206,37.495381,126.954889,1
스타벅스 사당역,3232A207,37.478492,126.981346,1
스타벅스 서강대프라자,3232A208,37.551073,126.943096,1
스타벅스 상암YTN,3232A209,37.579314,126.892210,1
스타벅스 마포용강동,3232A210,37.541186,126.942209,1
스타벅스 홍대입구역사거리R,3232A211,37.554636,126.920360,1
스타벅스 마포경찰서후문,3232A212,37.550800,126.953432,1
스타벅스 공덕,3232A213,37.545913,126.952956,1
스타벅스 합정폴리스R,3232A214,37.550900,126.913400,1
스타벅스 홍대공항철도역,3232A215,37.557491,126.925146,1
스타벅스 마포염리,3232A216,37.543876,126.947680,1
스타벅스 서강광흥창역,3232A217,37.549377,126.931661,1
스타벅스 합정,3232A218,37.549979,126.912540,1
스타벅스 서강대흥역,3232A219,37.548178,126.941576,1
스타벅스 서교동사거리,3232A220,37.553376,126.918564,1
스타벅스 상암사보이시티,3232A221,37.581462,126.888786,1
스타벅스 신촌오거리,3232A222,37.555137,126.934694,1
스타벅스 상암디지털큐브,3232A223,37.576135,126.888926,1
스타벅스 상수역,3232A224,37.547482,126.923216,1
스타벅스 공덕오거리,3232A225,37.542464,126.950577,1
스타벅스 서강대,3232A226,37.552458,126.937826,1
스타벅스 상암MBC,3232A227,37.580942,126.891585,1
스타벅스 홍대역,3232A228,37.557175,126.923654,1
스타벅스 동교,3232A229,37.556928,126.919819,1
스타벅스 애오개역,3232A230,37.552321,126.955695,1
스타벅스 상암DMC,3232A231,37.577700,126.890936,1
스타벅스 마포일진빌딩,3232A232,37.540435,126.946317,1
스타벅스 마포아크로,3232A233,37.541335,126.948867,1
스타벅스 홍대삼거리,3232A234,37.550248,126.923282,1
스타벅스 망원역,3232A235,37.555829,126.910637,1
스타벅스 마포이마트,3232A236,37.542421,126.953341,1
스타벅스 합정메세나몰,3232A237,37.550058,126.913559,1
스타벅스 아현역대로,3232A238,37.557097,126.954834,1
스타벅스 디지털미디어시티역,3232A239,37.576149,126.898948,1
스타벅스 홍대역8번출구,3232A240,37.556744,126.924167,1
스타벅스 합정푸르지오,3232A241,37.550943,126.912483,1
스타벅스 홍대동교,3232A242,37.558328,126.926247,1
스타벅스 망원한강공원,3232A243,37.553975,126.895928,1
스타벅스 마포구청역,3232A244,37.564957,126.902555,1
스타벅스 가재울뉴타운,3232A245,37.575072,126.916360,1
스타벅스 남가좌사거리,3232A246,37.577386,126.920815,1
스타벅스 신촌역,3232A247,37.556257,126.934653,1
스타벅스 연희동,3232A248,37.566702,126.930475,1
스타벅스 아현역,3232A249,37.558421,126.956349,1
스타벅스 홍제역,3232A250,37.588658,126.943864,1
스타벅스 연세백양로,3232A251,37.562874,126.937440,1
스타벅스 연희DT,3232A252,37.570214,126.933978,1
스타벅스 경기대,3232A253,37.563680,126.964605,1
스타벅스 신촌,3232A254,37.556486,126.937116,1
스타벅스 이대,3232A255,37.558483,126.945964,1
스타벅스 연세종합관,3232A256,37.561469,126.941120,1
스타벅스 이대ECC,3232A257,37.561631,126.947350,1
스타벅스 연대,3232A258,37.558706,126.936727,1
스타벅스 충정로역,3232A259,37.561370,126.963219,1
스타벅스 연대동문,3232A260,37.566485,126.946325,1
스타벅스 신촌명물거리,3232A261,37.557768,126.938155,1
스타벅스 충정타워,3232A262,37.559869,126.964110,1
스타벅스 이대역,3232A263,37.557058,126.946454,1
스타벅스 북가좌DT,3232A264,37.580758,126.911478,1
스타벅스 현대신촌,3232A265,37.556083,126.935845,1
스타벅스 방배로,3232A266,37.479343,126.999497,1
스타벅스 강남교보타워R,3232A267,37.503711,127.024335,1
스타벅스 방배다이치빌딩,3232A268,37.484329,126.995872,1
스타벅스 센트럴F1,3232A269,37.505148,127.004395,1
스타벅스 서초역이화빌딩,3232A270,37.487931,127.009126,1
스타벅스 서초구청,3232A271,37.484354,127.030091,1
스타벅스 서초우성사거리,3232A272,37.493545,127.029430,1
스타벅스 이수역사거리,3232A273,37.485850,126.983027,1
스타벅스 강남대로신사,3232A274,37.514890,127.019469,1
스타벅스 서울고속터미널,3232A275,37.504570,127.006160,1
스타벅스 방배,3232A276,37.491914,126.990497,1
스타벅스 방배카페거리,3232A277,37.493477,126.986530,1
스타벅스 서초법원,3232A278,37.492970,127.011875,1
스타벅스 청계산입구역,3232A279,37.447323,127.056250,1
스타벅스 사당로데오,3232A280,37.477275,126.982161,1
스타벅스 파미에파크R,3232A281,37.503052,127.004362,1
스타벅스 양재역,3232A282,37.482380,127.036853,1
스타벅스 논현역,3232A283,37.511438,127.020549,1
스타벅스 이수역,3232A284,37.486466,126.982740,1
스타벅스 내방역,3232A285,37.490004,126.992455,1
스타벅스 서초파라곤,3232A286,37.495630,127.027093,1
스타벅스 서울아트센터,3232A287,37.480866,127.012368,1
스타벅스 서초중앙로,3232A288,37.501691,127.011520,1
스타벅스 센트럴시티,3232A289,37.504707,127.004459,1
스타벅스 강남삼성타운,3232A290,37.495620,127.027714,1
스타벅스 방배역,3232A291,37.482008,126.997644,1
스타벅스 반포역,3232A292,37.508589,127.011959,1
스타벅스 남부터미널,3232A293,37.484673,127.016946,1
스타벅스 뉴코아강남,3232A294,37.510313,127.006958,1
스타벅스 강남서초초교,3232A295,37.500088,127.025491,1
스타벅스 교대,3232A296,37.492361,127.014221,1
스타벅스 하이브랜드,3232A297,37.462520,127.036668,1
스타벅스 신논현역,3232A298,37.505290,127.023636,1
스타벅스 영동2교,3232A299,37.482040,127.042575,1
스타벅스 남부터미널역5번출구,3232A300,37.484367,127.014219,1
스타벅스 서래마을입구,3232A301,37.499253,126.998480,1
스타벅스 몬테소리,3232A302,37.498270,127.026865,1
스타벅스 서초역,3232A303,37.490675,127.008612,1
스타벅스 교대법원,3232A304,37.496329,127.013336,1
스타벅스 강남GT타워,3232A305,37.497908,127.026163,1
스타벅스 서초동,3232A306,37.485941,127.021525,1
스타벅스 서울교대,3232A307,37.487397,127.015134,1
스타벅스 강남에비뉴,3232A308,37.502578,127.024106,1
스타벅스 반포자이,3232A309,37.507170,127.009919,1
스타벅스 서초태우빌딩,3232A310,37.488705,127.031581,1
스타벅스 교대역3번출구,3232A311,37.494346,127.014901,1
스타벅스 반포원베일리,3232A312,37.504657,126.999033,1
스타벅스 강남역우송빌딩,3232A313,37.498131,127.025279,1
스타벅스 서이초교사거리,3232A314,37.491815,127.025225,1
스타벅스 서울웨이브아트센터,3232A315,37.518807,127.007040,1
스타벅스 길음역,3232A316,37.602139,127.025271,1
스타벅스 미아이마트,3232A317,37.610678,127.029921,1
스타벅스 종암DT,3232A318,37.591953,127.036040,1
스타벅스 미아,3232A319,37.607581,127.029303,1
스타벅스 성신여대정문,3232A320,37.590910,127.018800,1
스타벅스 종암,3232A321,37.601095,127.033847,1
스타벅스 삼선교,3232A322,37.588696,127.007321,1
스타벅스 월곡역,3232A323,37.601718,127.040446,1
스타벅스 고대,3232A324,37.583972,127.029735,1
스타벅스 현대미아,3232A325,37.608378,127.028748,1
스타벅스 성신여대,3232A326,37.593135,127.018379,1
스타벅스 안암역,3232A327,37.586319,127.030556,1
스타벅스 한성대입구역,3232A328,37.589054,127.004839,1
스타벅스 고대안암병원,3232A329,37.586879,127.028203,1
스타벅스 장위뉴타운,3232A330,37.618072,127.051529,1
스타벅스 성신여대입구역,3232A331,37.593050,127.016700,1
스타벅스 송파나루역DT,3232A332,37.510987,127.110119,1
스타벅스 송파헬리오시티,3232A333,37.497783,127.102852,1
스타벅스 잠실시그마타워,3232A334,37.514567,127.102493,1
스타벅스 문정법원로R,3232A335,37.487356,127.119120,1
스타벅스 송파개롱역,3232A336,37.496956,127.136520,1
스타벅스 문정하비오,3232A337,37.482119,127.123541,1
스타벅스 문정역,3232A338,37.485297,127.122277,1
스타벅스 잠실대교남단R,3232A339,37.515511,127.099006,1
스타벅스 송파위례,3232A340,37.478416,127.143161,1
스타벅스 송파방이DT,3232A341,37.506564,127.120495,1
스타벅스 올림픽평화의문,3232A342,37.515643,127.116482,1
스타벅스 송파아이파크,3232A343,37.479793,127.122420,1
스타벅스 송파사거리,3232A344,37.502279,127.110390,1
스타벅스 석촌서호,3232A345,37.506393,127.096468,1
스타벅스 문정로데오,3232A346,37.491858,127.126231,1
스타벅스 올림픽훼미리,3232A347,37.491616,127.116266,1
스타벅스 올림픽공원남문,3232A348,37.513300,127.123113,1
스타벅스 방이역,3232A349,37.508490,127.126777,1
스타벅스 석촌호수,3232A350,37.509579,127.105326,1
스타벅스 잠실푸르지오월드,3232A351,37.517649,127.103426,1
스타벅스 잠실새내역,3232A352,37.511679,127.081062,1
스타벅스 잠실역,3232A353,37.515272,127.099231,1
스타벅스 갤러리아팰리스,3232A354,37.511084,127.093806,1
스타벅스 아시아선수촌,3232A355,37.510590,127.079047,1
스타벅스 올림픽아파트,3232A356,37.515315,127.133237,1
스타벅스 가락본동,3232A357,37.494812,127.118835,1
스타벅스 석촌역,3232A358,37.504263,127.106108,1
스타벅스 가락시장역,3232A359,37.494429,127.121743,1
스타벅스 가든파이브,3232A360,37.477975,127.121185,1
스타벅스 문정역2번출구,3232A361,37.486293,127.123203,1
스타벅스 잠실본동,3232A362,37.508645,127.079491,1
스타벅스 송파NC,3232A363,37.478044,127.125801,1
스타벅스 송파거여역,3232A364,37.493600,127.143645,1
스타벅스 몽촌토성역,3232A365,37.516913,127.113127,1
스타벅스 송파KT,3232A366,37.513942,127.106992,1
스타벅스 문정법조타운 한양타워,3232A367,37.485797,127.117814,1
스타벅스 송파마천사거리DT,3232A368,37.499829,127.147672,1
스타벅스 목동파리공원,3232A369,37.535336,126.878852,1
스타벅스 등촌역,3232A370,37.548884,126.868070,1
스타벅스 목동행복한,3232A371,37.529356,126.875892,1
스타벅스 신정DT,3232A372,37.521993,126.858865,1
스타벅스 목동역,3232A373,37.526684,126.863986,1
스타벅스 목동오목로,3232A374,37.525923,126.868438,1
스타벅스 목동8단지,3232A375,37.520518,126.868841,1
스타벅스 오목교역,3232A376,37.523856,126.876450,1
스타벅스 신월IC DT,3232A377,37.529502,126.832202,1
스타벅스 목동7단지,3232A378,37.528012,126.870530,1
스타벅스 목동5단지,3232A379,37.536386,126.882118,1
스타벅스 목동,3232A380,37.536384,126.878560,1
스타벅스 현대목동,3232A381,37.526848,126.875023,1
스타벅스 목동SBS,3232A382,37.528962,126.873630,1
스타벅스 목동트라팰리스,3232A383,37.525500,126.870200,1
스타벅스 목동10단지,3232A384,37.515426,126.859603,1
스타벅스 신월동DT,3232A385,37.538292,126.827101,1
스타벅스 타임스퀘어R,3232A386,37.517550,126.905160,1
스타벅스 샛강역,3232A387,37.518355,126.931272,1
스타벅스 영등포역,3232A388,37.517000,126.909067,1
스타벅스 당산대로,3232A389,37.533121,126.903804,1
스타벅스 여의도IFC몰(L1)R,3232A390,37.525386,126.926065,1
스타벅스 여의도KBS R,3232A391,37.526596,126.918456,1
스타벅스 여의도화재보험,3232A392,37.521345,126.926004,1
스타벅스 국회대로,3232A393,37.530260,126.919549,1
스타벅스 영등포KT,3232A394,37.526419,126.905314,1
스타벅스 여의도공원R,3232A395,37.529130,126.925357,1
스타벅스 국회의사당역,3232A396,37.528054,126.917120,1
스타벅스 여의도역R,3232A397,37.523328,126.923439,1
스타벅스 선유동이레빌딩,3232A398,37.534278,126.896976,1
스타벅스 동여의도,3232A399,37.520630,126.931686,1
스타벅스 여의도ABL타워,3232A400,37.518749,126.927790,1
스타벅스 영등포신길,3232A401,37.504566,126.910073,1
스타벅스 문래역,3232A402,37.517446,126.895258,1
스타벅스 당산,3232A403,37.534994,126.900005,1
스타벅스 여의도한양증권,3232A404,37.522450,126.929059,1
스타벅스 여의도일신,3232A405,37.527750,126.920276,1
스타벅스 하이테크시티,3232A406,37.514456,126.899879,1
스타벅스 여의도,3232A407,37.524035,126.924518,1
스타벅스 롯데캐슬여의도,3232A408,37.520252,126.926368,1
스타벅스 문래동,3232A409,37.519602,126.889652,1
스타벅스 여의도호성,3232A410,37.520471,126.929206,1
스타벅스 타임스퀘어B2,3232A411,37.516810,126.903363,1
스타벅스 영등포본동,3232A412,37.518713,126.909559,1
스타벅스 타임스퀘어2F,3232A413,37.516923,126.903312,1
스타벅스 여의도의사당,3232A414,37.530023,126.921090,1
스타벅스 여의도IFC(1F),3232A415,37.525273,126.924668,1
스타벅스 여의도교직원공제회,3232A416,37.521915,126.925588,1
스타벅스 선유도역 1번출구,3232A417,37.538333,126.893612,1
스타벅스 영등포시장역,3232A418,37.523493,126.904978,1
스타벅스 영등포구청역,3232A419,37.527890,126.896080,1
스타벅스 서울양평역,3232A420,37.523128,126.885809,1
스타벅스 영등포시장교차로,3232A421,37.520424,126.904446,1
스타벅스 더현대서울(B2)R,3232A422,37.525883,126.928658,1
스타벅스 여의도브라이튼,3232A423,37.524101,126.929817,1
스타벅스 여의도TP타워,3232A424,37.521625,126.923020,1
스타벅스 당산역사거리,3232A425,37.534097,126.901214,1
스타벅스 신풍역,3232A426,37.500347,126.908438,1
스타벅스 불광역,3232A427,37.609382,126.930397,1
스타벅스 구파발사거리,3232A428,37.639617,126.918810,1
스타벅스 연신내역사거리,3232A429,37.618774,126.921799,1
스타벅스 연신내,3232A430,37.620321,126.919893,1
스타벅스 구파발역,3232A431,37.634460,126.918881,1
스타벅스 은평구청입구,3232A432,37.601042,126.926789,1
스타벅스 은평이마트,3232A433,37.600379,126.920274,1
스타벅스 구산역,3232A434,37.611745,126.917678,1
스타벅스 불광역8번출구,3232A435,37.611990,126.928900,1
스타벅스 수색,3232A436,37.580064,126.899562,1
스타벅스 새절역,3232A437,37.589427,126.912864,1
스타벅스 더북한산,3232A438,37.655458,126.947556,1
스타벅스 녹번역,3232A439,37.603308,126.935286,1
스타벅스 진관DT,3232A440,37.650179,126.936197,1
스타벅스 연합뉴스,3232A441,37.574627,126.980475,1
스타벅스 혜화역,3232A442,37.582478,127.002185,1
스타벅스 경희궁로,3232A443,37.571759,126.972343,1
스타벅스 강북삼성병원,3232A444,37.568546,126.967560,1
스타벅스 종로평창동,3232A445,37.606148,126.967364,1
스타벅스 광화문우체국,3232A446,37.569854,126.978083,1
스타벅스 종로R,3232A447,37.570800,126.983400,1
스타벅스 독립문역,3232A448,37.571432,126.961269,1
스타벅스 정부서울청사R,3232A449,37.574621,126.973678,1
스타벅스 종로구청,3232A450,37.572499,126.980951,1
스타벅스 북촌로,3232A451,37.579419,126.986486,1
스타벅스 종로수송,3232A452,37.571652,126.980623,1
스타벅스 새문안로,3232A453,37.569824,126.975222,1
스타벅스 안국,3232A454,37.577394,126.985764,1
스타벅스 삼청동,3232A455,37.585412,126.981913,1
스타벅스 광화문D타워,3232A456,37.570491,126.979070,1
스타벅스 적선,3232A457,37.575204,126.973936,1
스타벅스 인사,3232A458,37.572209,126.986798,1
스타벅스 광화문,3232A459,37.571229,126.976287,1
스타벅스 성대입구,3232A460,37.582892,126.998392,1
스타벅스 스페이스본,3232A461,37.574886,126.969220,1
스타벅스 주얼리시티,3232A462,37.571483,126.998667,1
스타벅스 종각,3232A463,37.570017,126.984504,1
스타벅스 동숭로아트,3232A464,37.582969,127.003876,1
스타벅스 종로관철,3232A465,37.569139,126.985933,1
스타벅스 경복궁역,3232A466,37.577151,126.972745,1
스타벅스 이마빌딩,3232A467,37.573864,126.978972,1
스타벅스 마로니에공원,3232A468,37.581543,127.002341,1
스타벅스 종로3가,3232A469,37.570565,126.990217,1
스타벅스 대학로,3232A470,37.576492,127.001471,1
스타벅스 경복궁사거리,3232A471,37.575616,126.980237,1
스타벅스 종로관수,3232A472,37.569711,126.988635,1
스타벅스 광화문교보문고,3232A473,37.571017,126.977937,1
스타벅스 정동,3232A474,37.568578,126.970067,1
스타벅스 종로플레이스,3232A475,37.573138,126.998355,1
